"LineId","Date","Time","Pid","Tid","Level","Component","Content","EventId","EventTemplate"
"1","11-11","22:54:42.697","0","0","I","logd    ","logdr: UID=2000 GID=2000 PID=6894 b tail=0 logMask=99 pid=0 start=0ns deadline=0ns","E0","logdr: UID= <*> GID= <*> PID= <*> b tail= <*> logMask= <*> pid= <*> start= <*> deadline= <*>"
"2","11-11","22:54:44.806","6897","6897","D","AndroidRuntime",">>>>>> START com.android.internal.os.RuntimeInit uid 2000 <<<<<<","E5",">>>>>> START <*> uid <*> <<<<<<"
"3","11-11","22:54:44.813","6897","6897","I","AndroidRuntime","Using default boot image","E44","Using <*> boot image"
"4","11-11","22:54:44.813","6897","6897","I","AndroidRuntime","Leaving lock profiling enabled","E45","Leaving <*> profiling enabled"
"5","11-11","22:54:44.816","6897","6897","I","app_process","Core platform API reporting enabled, enforcing=false","E107","Core platform API reporting enabled, enforcing= false"
"6","11-11","22:54:44.921","6897","6897","D","app_process","Time zone APEX ICU file found: /apex/com.android.tzdata/etc/icu/icu_tzdata.dat","E108","Time zone APEX ICU file found: <*>"
"7","11-11","22:54:44.921","6897","6897","D","app_process","I18n APEX ICU file found: /apex/com.android.i18n/etc/icu/icudt70l.dat","E10","<*> APEX ICU file found: <*>"
"8","11-11","22:54:44.950","6897","6897","D","AndroidRuntime","Calling main entry com.android.commands.monkey.Monkey","E46","Calling <*> entry <*>"
"9","11-11","22:54:44.951","6897","6897","W","Monkey  ","args: [-s, 800, -p, com.android.settings, --throttle, 100, --pct-touch, 60, --pct-motion, 10, --pct-nav, 10, --pct-majornav, 5, --pct-syskeys, 10, --pct-appswitch, 5, --ignore-crashes, --ignore-timeouts, --ignore-security-exceptions, -v, 1140]","E139","args: [-s, <*> -p, <*> --throttle, <*> --pct-touch, <*> --pct-motion, <*> --pct-nav, <*> --pct-majornav, <*> --pct-syskeys, <*> --pct-appswitch, <*> --ignore-crashes, --ignore-timeouts, --ignore-security-exceptions, -v, <*>"
"10","11-11","22:54:44.951","6897","6897","W","Monkey  ","arg: ""-s""","E141","arg: <*>"
"11","11-11","22:54:44.951","6897","6897","W","Monkey  ","arg: ""800""","E141","arg: <*>"
"12","11-11","22:54:44.951","6897","6897","W","Monkey  ","arg: ""-p""","E141","arg: <*>"
"13","11-11","22:54:44.951","6897","6897","W","Monkey  ","arg: ""com.android.settings""","E141","arg: <*>"
"14","11-11","22:54:44.951","6897","6897","W","Monkey  ","arg: ""--throttle""","E141","arg: <*>"
"15","11-11","22:54:44.951","6897","6897","W","Monkey  ","arg: ""100""","E141","arg: <*>"
"16","11-11","22:54:44.951","6897","6897","W","Monkey  ","arg: ""--pct-touch""","E141","arg: <*>"
"17","11-11","22:54:44.951","6897","6897","W","Monkey  ","arg: ""60""","E141","arg: <*>"
"18","11-11","22:54:44.951","6897","6897","W","Monkey  ","arg: ""--pct-motion""","E141","arg: <*>"
"19","11-11","22:54:44.951","6897","6897","W","Monkey  ","arg: ""10""","E141","arg: <*>"
"20","11-11","22:54:44.951","6897","6897","W","Monkey  ","arg: ""--pct-nav""","E141","arg: <*>"
"21","11-11","22:54:44.951","6897","6897","W","Monkey  ","arg: ""10""","E141","arg: <*>"
"22","11-11","22:54:44.951","6897","6897","W","Monkey  ","arg: ""--pct-majornav""","E141","arg: <*>"
"23","11-11","22:54:44.951","6897","6897","W","Monkey  ","arg: ""5""","E141","arg: <*>"
"24","11-11","22:54:44.952","6897","6897","W","Monkey  ","arg: ""--pct-syskeys""","E141","arg: <*>"
"25","11-11","22:54:44.952","6897","6897","W","Monkey  ","arg: ""10""","E141","arg: <*>"
"26","11-11","22:54:44.958","6897","6897","W","Monkey  ","arg: ""--pct-appswitch""","E141","arg: <*>"
"27","11-11","22:54:44.958","6897","6897","W","Monkey  ","arg: ""5""","E141","arg: <*>"
"28","11-11","22:54:44.958","6897","6897","W","Monkey  ","arg: ""--ignore-crashes""","E141","arg: <*>"
"29","11-11","22:54:44.958","6897","6897","W","Monkey  ","arg: ""--ignore-timeouts""","E141","arg: <*>"
"30","11-11","22:54:44.958","6897","6897","W","Monkey  ","arg: ""--ignore-security-exceptions""","E141","arg: <*>"
"31","11-11","22:54:44.958","6897","6897","W","Monkey  ","arg: ""-v""","E141","arg: <*>"
"32","11-11","22:54:44.958","6897","6897","W","Monkey  ","arg: ""1140""","E141","arg: <*>"
"33","11-11","22:54:44.960","6897","6897","W","Monkey  ","data=""800""","E142","data= <*>"
"34","11-11","22:54:44.960","6897","6897","W","Monkey  ","data=""com.android.settings""","E142","data= <*>"
"35","11-11","22:54:44.962","6897","6897","W","Monkey  ","arg=""--throttle"" mCurArgData=""null"" mNextArg=5 argwas=""--throttle"" nextarg=""100""","E159","arg= <*> mCurArgData= ""null"" mNextArg= <*> argwas= <*> nextarg= <*>"
"36","11-11","22:54:44.964","6897","6897","W","Monkey  ","data=""100""","E142","data= <*>"
"37","11-11","22:54:44.964","6897","6897","W","Monkey  ","arg=""--pct-touch"" mCurArgData=""null"" mNextArg=7 argwas=""--pct-touch"" nextarg=""60""","E159","arg= <*> mCurArgData= ""null"" mNextArg= <*> argwas= <*> nextarg= <*>"
"38","11-11","22:54:44.964","6897","6897","W","Monkey  ","data=""60""","E142","data= <*>"
"39","11-11","22:54:44.967","6897","6897","W","Monkey  ","arg=""--pct-motion"" mCurArgData=""null"" mNextArg=9 argwas=""--pct-motion"" nextarg=""10""","E159","arg= <*> mCurArgData= ""null"" mNextArg= <*> argwas= <*> nextarg= <*>"
"40","11-11","22:54:44.967","6897","6897","W","Monkey  ","data=""10""","E142","data= <*>"
"41","11-11","22:54:44.967","6897","6897","W","Monkey  ","arg=""--pct-nav"" mCurArgData=""null"" mNextArg=11 argwas=""--pct-nav"" nextarg=""10""","E159","arg= <*> mCurArgData= ""null"" mNextArg= <*> argwas= <*> nextarg= <*>"
"42","11-11","22:54:44.967","6897","6897","W","Monkey  ","data=""10""","E142","data= <*>"
"43","11-11","22:54:44.967","6897","6897","W","Monkey  ","arg=""--pct-majornav"" mCurArgData=""null"" mNextArg=13 argwas=""--pct-majornav"" nextarg=""5""","E159","arg= <*> mCurArgData= ""null"" mNextArg= <*> argwas= <*> nextarg= <*>"
"44","11-11","22:54:44.982","6897","6897","W","Monkey  ","data=""5""","E142","data= <*>"
"45","11-11","22:54:44.982","6897","6897","W","Monkey  ","arg=""--pct-syskeys"" mCurArgData=""null"" mNextArg=15 argwas=""--pct-syskeys"" nextarg=""10""","E159","arg= <*> mCurArgData= ""null"" mNextArg= <*> argwas= <*> nextarg= <*>"
"46","11-11","22:54:44.982","6897","6897","W","Monkey  ","data=""10""","E142","data= <*>"
"47","11-11","22:54:44.982","6897","6897","W","Monkey  ","arg=""--pct-appswitch"" mCurArgData=""null"" mNextArg=17 argwas=""--pct-appswitch"" nextarg=""5""","E159","arg= <*> mCurArgData= ""null"" mNextArg= <*> argwas= <*> nextarg= <*>"
"48","11-11","22:54:44.982","6897","6897","W","Monkey  ","data=""5""","E142","data= <*>"
"49","11-11","22:54:44.982","6897","6897","W","Monkey  ","arg=""--ignore-crashes"" mCurArgData=""null"" mNextArg=19 argwas=""--ignore-crashes"" nextarg=""--ignore-timeouts""","E159","arg= <*> mCurArgData= ""null"" mNextArg= <*> argwas= <*> nextarg= <*>"
"50","11-11","22:54:44.982","6897","6897","W","Monkey  ","arg=""--ignore-timeouts"" mCurArgData=""null"" mNextArg=20 argwas=""--ignore-timeouts"" nextarg=""--ignore-security-exceptions""","E159","arg= <*> mCurArgData= ""null"" mNextArg= <*> argwas= <*> nextarg= <*>"
"51","11-11","22:54:44.982","6897","6897","W","Monkey  ","arg=""--ignore-security-exceptions"" mCurArgData=""null"" mNextArg=21 argwas=""--ignore-security-exceptions"" nextarg=""-v""","E160","arg= <*> mCurArgData= ""null"" mNextArg= <*> argwas= <*> nextarg= ""-v"""
"52","11-11","22:54:44.995","6897","6897","I","Monkey  ",":Monkey: seed=800 count=1140","E12",": Monkey: seed= <*> count= <*>"
