"LineId","Date","Time","Pid","Tid","Level","Component","Content","EventId","EventTemplate"
"1","06-30","19:28:17.922","18833","18833","I","perfetto","perfetto_cmd.cc:999 Connected to the Perfetto traced service, TTL: 55s","E0","perfetto_cmd.cc: <*> Connected <*> <*> Perfetto traced service, TTL: <*>"
"2","06-30","19:28:17.923","512","512","I","perfetto","ing_service_impl.cc:953 Configured tracing session 7, #sources:1, duration:55000 ms, #buffers:1, total buffer size:4096 KB, total sessions:1, uid:0 session name: """"","E34","ing_service_impl.cc: <*> Configured tracing session <*> #sources: <*> duration: <*> ms, #buffers: <*> total buffer size: <*> KB, total sessions: <*> uid: <*> session name: """""
"3","06-30","19:28:17.923","507","507","I","perfetto","probes_producer.cc:140 Ftrace setup (target_buf=7)","E39","probes_producer.cc: <*> Ftrace setup <*> target_buf= <*> <*>"
"4","06-30","19:28:17.970","507","507","I","perfetto","ftrace_procfs.cc:335 enabled ftrace in /sys/kernel/tracing/","E83","ftrace_procfs.cc: <*> enabled ftrace <*> <*>"
"5","06-30","19:28:18.143","18849","18849","I","crash_dump64","obtaining output fd from tombstoned, type: kDebuggerdTombstoneProto","E169","obtaining <*> fd <*> tombstoned, type: kDebuggerdTombstoneProto"
"6","06-30","19:28:18.149","300","300","I","tombstoned","received crash request for pid 14579","E94","received crash request <*> pid <*>"
"7","06-30","19:28:18.149","18849","18849","I","crash_dump64","performing dump of process 14579 (target tid = 14579)","E238","performing dump of process <*> ( target tid = <*> "
"8","06-30","19:28:18.703","300","300","E","tombstoned","Tombstone written to: tombstone_01","E257","Tombstone written to: tombstone_01"
"9","06-30","19:28:18.705","14579","14713","E","NativeTombstoneManager","Tombstone's UID (1000) not an app, ignoring","E45","Tombstone's UID ( <*> not an app, ignoring"
"10","06-30","19:28:18.712","551","551","I","tombstone_transmit","1000540 chars transferred from /data/tombstones/tombstone_01 over 978 1024 byte sized transfers","E239","<*> chars transferred from <*> over <*> <*> byte sized transfers"
"11","06-30","19:28:18.716","14579","14713","I","BootReceiver","Copying /data/tombstones/tombstone_01 to DropBox (system_server_native_crash)","E176","Copying <*> to DropBox ( system_server_native_crash) "
"12","06-30","19:28:18.716","551","551","I","tombstone_transmit","688987 chars transferred from /data/tombstones/tombstone_01.pb over 673 1024 byte sized transfers","E239","<*> chars transferred from <*> over <*> <*> byte sized transfers"
