"LineId","Date","Time","Pid","Tid","Level","Component","Content","EventId","EventTemplate"
"1","12-18","00:26:33.636","0","0","I","logd    ","logdr: UID=2000 GID=2000 PID=9935 b tail=0 logMask=99 pid=0 start=0ns deadline=0ns","E0","logdr: UID= <*> GID= <*> PID= <*> b tail= <*> logMask= <*> pid= <*> start= <*> deadline= <*>"
"2","12-18","00:26:35.785","9943","9943","D","AndroidRuntime",">>>>>> START com.android.internal.os.RuntimeInit uid 2000 <<<<<<","E7",">>>>>> START <*> uid <*> <<<<<<"
"3","12-18","00:26:35.791","9943","9943","I","AndroidRuntime","Using default boot image","E119","Using <*> boot image"
"4","12-18","00:26:35.791","9943","9943","I","AndroidRuntime","Leaving lock profiling enabled","E129","Leaving <*> profiling <*>"
"5","12-18","00:26:35.795","9943","9943","I","app_process","Core platform API reporting enabled, enforcing=false","E206","Core platform API reporting enabled, enforcing= <*>"
"6","12-18","00:26:35.910","9943","9943","D","app_process","Time zone APEX ICU file found: /apex/com.android.tzdata/etc/icu/icu_tzdata.dat","E211","Time zone APEX ICU file found: <*>"
"7","12-18","00:26:35.910","9943","9943","D","app_process","I18n APEX ICU file found: /apex/com.android.i18n/etc/icu/icudt70l.dat","E16","<*> APEX ICU file found: <*>"
"8","12-18","00:26:35.933","9943","9943","D","AndroidRuntime","Calling main entry com.android.commands.monkey.Monkey","E130","Calling <*> entry <*>"
"9","12-18","00:26:35.934","9943","9943","W","Monkey  ","args: [-p, com.android.deskclock, --throttle, 100, --pct-touch, 50, --pct-motion, 15, --pct-trackball, 0, --pct-nav, 15, --pct-majornav, 5, --pct-syskeys, 10, --pct-appswitch, 5, --ignore-crashes, --ignore-timeouts, --ignore-security-exceptions, -v, 4200]","E298","args: [-p, <*> --throttle, <*> --pct-touch, <*> --pct-motion, <*> --pct-trackball, <*> --pct-nav, <*> --pct-majornav, <*> --pct-syskeys, <*> --pct-appswitch, <*> --ignore-crashes, --ignore-timeouts, --ignore-security-exceptions, -v, <*>"
"10","12-18","00:26:35.934","9943","9943","W","Monkey  ","arg: ""-p""","E300","arg: <*>"
"11","12-18","00:26:35.934","9943","9943","W","Monkey  ","arg: ""com.android.deskclock""","E300","arg: <*>"
"12","12-18","00:26:35.934","9943","9943","W","Monkey  ","arg: ""--throttle""","E300","arg: <*>"
"13","12-18","00:26:35.934","9943","9943","W","Monkey  ","arg: ""100""","E300","arg: <*>"
"14","12-18","00:26:35.935","9943","9943","W","Monkey  ","arg: ""--pct-touch""","E300","arg: <*>"
"15","12-18","00:26:35.935","9943","9943","W","Monkey  ","arg: ""50""","E300","arg: <*>"
"16","12-18","00:26:35.935","9943","9943","W","Monkey  ","arg: ""--pct-motion""","E300","arg: <*>"
"17","12-18","00:26:35.935","9943","9943","W","Monkey  ","arg: ""15""","E300","arg: <*>"
"18","12-18","00:26:35.935","9943","9943","W","Monkey  ","arg: ""--pct-trackball""","E300","arg: <*>"
"19","12-18","00:26:35.936","9943","9943","W","Monkey  ","arg: ""0""","E300","arg: <*>"
"20","12-18","00:26:35.936","9943","9943","W","Monkey  ","arg: ""--pct-nav""","E300","arg: <*>"
"21","12-18","00:26:35.936","9943","9943","W","Monkey  ","arg: ""15""","E300","arg: <*>"
"22","12-18","00:26:35.936","9943","9943","W","Monkey  ","arg: ""--pct-majornav""","E300","arg: <*>"
"23","12-18","00:26:35.936","9943","9943","W","Monkey  ","arg: ""5""","E300","arg: <*>"
"24","12-18","00:26:35.936","9943","9943","W","Monkey  ","arg: ""--pct-syskeys""","E300","arg: <*>"
"25","12-18","00:26:35.936","9943","9943","W","Monkey  ","arg: ""10""","E300","arg: <*>"
"26","12-18","00:26:35.936","9943","9943","W","Monkey  ","arg: ""--pct-appswitch""","E300","arg: <*>"
"27","12-18","00:26:35.936","9943","9943","W","Monkey  ","arg: ""5""","E300","arg: <*>"
