"LineId","Date","Time","Pid","Tid","Level","Component","Content","EventId","EventTemplate"
"1","06-30","19:26:57.207","14379","14379","I","perfetto","perfetto_cmd.cc:999 Connected to the Perfetto traced service, TTL: 55s","E0","perfetto_cmd.cc: <*> Connected <*> <*> Perfetto traced service, TTL: <*>"
"2","06-30","19:26:57.208","512","512","I","perfetto","ing_service_impl.cc:953 Configured tracing session 6, #sources:1, duration:55000 ms, #buffers:1, total buffer size:4096 KB, total sessions:1, uid:0 session name: """"","E35","ing_service_impl.cc: <*> Configured tracing session <*> #sources: <*> duration: <*> ms, #buffers: <*> total buffer size: <*> KB, total sessions: <*> uid: <*> session name: """""
"3","06-30","19:26:57.209","507","507","I","perfetto","probes_producer.cc:140 Ftrace setup (target_buf=6)","E40","probes_producer.cc: <*> Ftrace setup <*> target_buf= <*> <*>"
"4","06-30","19:26:57.240","507","507","I","perfetto","ftrace_procfs.cc:335 enabled ftrace in /sys/kernel/tracing/","E86","ftrace_procfs.cc: <*> enabled ftrace <*> <*>"
"5","06-30","19:26:57.314","2735","2735","I","Zygote  ","Process 3423 exited due to signal 9 (Killed)","E6","Process <*> exited due to signal <*> ( Killed) "
"6","06-30","19:26:57.496","542","838","D","BufferPoolAccessor2.0","bufferpool2 0x768f14c30a68 : 0(0 size) total buffers - 0(0 size) used buffers - 12/16 (recycle/alloc) - 4/15 (fetch/transfer)","E176","bufferpool2 <*> : <*> <*> size) total buffers - <*> <*> size) used buffers - <*> ( <*> - <*> ( <*> "
"7","06-30","19:26:57.496","542","838","D","BufferPoolAccessor2.0","Destruction - bufferpool2 0x768f14c30a68 cached: 0/0M, 0/0% in use; allocs: 16, 75% recycled; transfers: 15, 73% unfetched","E178","Destruction - bufferpool2 <*> cached: <*> <*> in use; allocs: <*> <*> recycled; transfers: <*> <*> unfetched"
"8","06-30","19:26:57.497","542","833","D","BufferPoolAccessor2.0","bufferpool2 0x768f14c2fed8 : 0(0 size) total buffers - 0(0 size) used buffers - 6/7 (recycle/alloc) - 1/6 (fetch/transfer)","E176","bufferpool2 <*> : <*> <*> size) total buffers - <*> <*> size) used buffers - <*> ( <*> - <*> ( <*> "
"9","06-30","19:26:57.498","542","838","D","BufferPoolAccessor2.0","bufferpool2 0x768f14c313a8 : 0(0 size) total buffers - 0(0 size) used buffers - 16/17 (recycle/alloc) - 1/16 (fetch/transfer)","E176","bufferpool2 <*> : <*> <*> size) total buffers - <*> <*> size) used buffers - <*> ( <*> - <*> ( <*> "
"10","06-30","19:26:57.498","542","838","D","BufferPoolAccessor2.0","Destruction - bufferpool2 0x768f14c313a8 cached: 0/0M, 0/0% in use; allocs: 17, 94% recycled; transfers: 16, 94% unfetched","E178","Destruction - bufferpool2 <*> cached: <*> <*> in use; allocs: <*> <*> recycled; transfers: <*> <*> unfetched"
"11","06-30","19:26:57.498","542","838","D","BufferPoolAccessor2.0","Destruction - bufferpool2 0x768f14c2fed8 cached: 0/0M, 0/0% in use; allocs: 7, 86% recycled; transfers: 6, 83% unfetched","E178","Destruction - bufferpool2 <*> cached: <*> <*> in use; allocs: <*> <*> recycled; transfers: <*> <*> unfetched"
