"LineId","Date","Time","Pid","Tid","Level","Component","Content","EventId","EventTemplate"
"1","11-11","22:55:59.781","0","0","I","logd    ","logdr: UID=2000 GID=2000 PID=7360 b tail=0 logMask=99 pid=0 start=0ns deadline=0ns","E0","logdr: UID= <*> GID= <*> PID= <*> b tail= <*> logMask= <*> pid= <*> start= <*> deadline= <*>"
"2","11-11","22:56:01.132","30395","30448","D","EGL_emulation","app_time_stats: avg=532.71ms min=487.37ms max=599.44ms count=3","E9","app_time_stats: avg= <*> min= <*> max= <*> count= <*>"
"3","11-11","22:56:01.887","7363","7363","D","AndroidRuntime",">>>>>> START com.android.internal.os.RuntimeInit uid 2000 <<<<<<","E65",">>>>>> START <*> uid <*> <<<<<<"
"4","11-11","22:56:01.895","7363","7363","I","AndroidRuntime","Using default boot image","E142","Using <*> boot image"
"5","11-11","22:56:01.897","7363","7363","I","AndroidRuntime","Leaving lock profiling enabled","E151","Leaving lock profiling enabled"
"6","11-11","22:56:01.901","7363","7363","I","app_process","Core platform API reporting enabled, enforcing=false","E241","Core platform API reporting enabled, enforcing= false"
"7","11-11","22:56:02.013","7363","7363","D","app_process","Time zone APEX ICU file found: /apex/com.android.tzdata/etc/icu/icu_tzdata.dat","E244","Time zone APEX ICU file found: <*>"
"8","11-11","22:56:02.016","7363","7363","D","app_process","I18n APEX ICU file found: /apex/com.android.i18n/etc/icu/icudt70l.dat","E74","<*> APEX ICU file found: <*>"
"9","11-11","22:56:02.049","7363","7363","D","AndroidRuntime","Calling main entry com.android.commands.monkey.Monkey","E143","Calling <*> entry <*>"
"10","11-11","22:56:02.053","7363","7363","W","Monkey  ","args: [-s, 900, -p, com.android.settings, --throttle, 100, --pct-touch, 60, --pct-motion, 10, --pct-nav, 10, --pct-majornav, 5, --pct-syskeys, 10, --pct-appswitch, 5, --ignore-crashes, --ignore-timeouts, --ignore-security-exceptions, -v, 1258]","E327","args: [-s, <*> -p, <*> --throttle, <*> --pct-touch, <*> --pct-motion, <*> --pct-nav, <*> --pct-majornav, <*> --pct-syskeys, <*> --pct-appswitch, <*> --ignore-crashes, --ignore-timeouts, --ignore-security-exceptions, -v, <*>"
"11","11-11","22:56:02.054","7363","7363","W","Monkey  ","arg: ""-s""","E330","arg: <*>"
"12","11-11","22:56:02.056","7363","7363","W","Monkey  ","arg: ""900""","E330","arg: <*>"
"13","11-11","22:56:02.057","7363","7363","W","Monkey  ","arg: ""-p""","E330","arg: <*>"
"14","11-11","22:56:02.058","7363","7363","W","Monkey  ","arg: ""com.android.settings""","E330","arg: <*>"
"15","11-11","22:56:02.060","7363","7363","W","Monkey  ","arg: ""--throttle""","E330","arg: <*>"
"16","11-11","22:56:02.061","7363","7363","W","Monkey  ","arg: ""100""","E330","arg: <*>"
"17","11-11","22:56:02.065","7363","7363","W","Monkey  ","arg: ""--pct-touch""","E330","arg: <*>"
"18","11-11","22:56:02.067","7363","7363","W","Monkey  ","arg: ""60""","E330","arg: <*>"
"19","11-11","22:56:02.069","7363","7363","W","Monkey  ","arg: ""--pct-motion""","E330","arg: <*>"
"20","11-11","22:56:02.070","7363","7363","W","Monkey  ","arg: ""10""","E330","arg: <*>"
"21","11-11","22:56:02.072","7363","7363","W","Monkey  ","arg: ""--pct-nav""","E330","arg: <*>"
"22","11-11","22:56:02.073","7363","7363","W","Monkey  ","arg: ""10""","E330","arg: <*>"
"23","11-11","22:56:02.075","7363","7363","W","Monkey  ","arg: ""--pct-majornav""","E330","arg: <*>"
"24","11-11","22:56:02.075","7363","7363","W","Monkey  ","arg: ""5""","E330","arg: <*>"
"25","11-11","22:56:02.075","7363","7363","W","Monkey  ","arg: ""--pct-syskeys""","E330","arg: <*>"
"26","11-11","22:56:02.075","7363","7363","W","Monkey  ","arg: ""10""","E330","arg: <*>"
"27","11-11","22:56:02.075","7363","7363","W","Monkey  ","arg: ""--pct-appswitch""","E330","arg: <*>"
"28","11-11","22:56:02.075","7363","7363","W","Monkey  ","arg: ""5""","E330","arg: <*>"
"29","11-11","22:56:02.075","7363","7363","W","Monkey  ","arg: ""--ignore-crashes""","E330","arg: <*>"
"30","11-11","22:56:02.075","7363","7363","W","Monkey  ","arg: ""--ignore-timeouts""","E330","arg: <*>"
"31","11-11","22:56:02.075","7363","7363","W","Monkey  ","arg: ""--ignore-security-exceptions""","E330","arg: <*>"
"32","11-11","22:56:02.075","7363","7363","W","Monkey  ","arg: ""-v""","E330","arg: <*>"
"33","11-11","22:56:02.075","7363","7363","W","Monkey  ","arg: ""1258""","E330","arg: <*>"
"34","11-11","22:56:02.075","7363","7363","W","Monkey  ","data=""900""","E331","data= <*>"
"35","11-11","22:56:02.075","7363","7363","W","Monkey  ","data=""com.android.settings""","E331","data= <*>"
"36","11-11","22:56:02.075","7363","7363","W","Monkey  ","arg=""--throttle"" mCurArgData=""null"" mNextArg=5 argwas=""--throttle"" nextarg=""100""","E360","arg= <*> mCurArgData= ""null"" mNextArg= <*> argwas= <*> nextarg= <*>"
"37","11-11","22:56:02.075","7363","7363","W","Monkey  ","data=""100""","E331","data= <*>"
"38","11-11","22:56:02.075","7363","7363","W","Monkey  ","arg=""--pct-touch"" mCurArgData=""null"" mNextArg=7 argwas=""--pct-touch"" nextarg=""60""","E360","arg= <*> mCurArgData= ""null"" mNextArg= <*> argwas= <*> nextarg= <*>"
"39","11-11","22:56:02.075","7363","7363","W","Monkey  ","data=""60""","E331","data= <*>"
"40","11-11","22:56:02.075","7363","7363","W","Monkey  ","arg=""--pct-motion"" mCurArgData=""null"" mNextArg=9 argwas=""--pct-motion"" nextarg=""10""","E360","arg= <*> mCurArgData= ""null"" mNextArg= <*> argwas= <*> nextarg= <*>"
"41","11-11","22:56:02.075","7363","7363","W","Monkey  ","data=""10""","E331","data= <*>"
"42","11-11","22:56:02.075","7363","7363","W","Monkey  ","arg=""--pct-nav"" mCurArgData=""null"" mNextArg=11 argwas=""--pct-nav"" nextarg=""10""","E360","arg= <*> mCurArgData= ""null"" mNextArg= <*> argwas= <*> nextarg= <*>"
"43","11-11","22:56:02.075","7363","7363","W","Monkey  ","data=""10""","E331","data= <*>"
"44","11-11","22:56:02.075","7363","7363","W","Monkey  ","arg=""--pct-majornav"" mCurArgData=""null"" mNextArg=13 argwas=""--pct-majornav"" nextarg=""5""","E360","arg= <*> mCurArgData= ""null"" mNextArg= <*> argwas= <*> nextarg= <*>"
"45","11-11","22:56:02.075","7363","7363","W","Monkey  ","data=""5""","E331","data= <*>"
"46","11-11","22:56:02.076","7363","7363","W","Monkey  ","arg=""--pct-syskeys"" mCurArgData=""null"" mNextArg=15 argwas=""--pct-syskeys"" nextarg=""10""","E360","arg= <*> mCurArgData= ""null"" mNextArg= <*> argwas= <*> nextarg= <*>"
"47","11-11","22:56:02.076","7363","7363","W","Monkey  ","data=""10""","E331","data= <*>"
"48","11-11","22:56:02.076","7363","7363","W","Monkey  ","arg=""--pct-appswitch"" mCurArgData=""null"" mNextArg=17 argwas=""--pct-appswitch"" nextarg=""5""","E360","arg= <*> mCurArgData= ""null"" mNextArg= <*> argwas= <*> nextarg= <*>"
"49","11-11","22:56:02.076","7363","7363","W","Monkey  ","data=""5""","E331","data= <*>"
"50","11-11","22:56:02.076","7363","7363","W","Monkey  ","arg=""--ignore-crashes"" mCurArgData=""null"" mNextArg=19 argwas=""--ignore-crashes"" nextarg=""--ignore-timeouts""","E360","arg= <*> mCurArgData= ""null"" mNextArg= <*> argwas= <*> nextarg= <*>"
"51","11-11","22:56:02.076","7363","7363","W","Monkey  ","arg=""--ignore-timeouts"" mCurArgData=""null"" mNextArg=20 argwas=""--ignore-timeouts"" nextarg=""--ignore-security-exceptions""","E360","arg= <*> mCurArgData= ""null"" mNextArg= <*> argwas= <*> nextarg= <*>"
"52","11-11","22:56:02.076","7363","7363","W","Monkey  ","arg=""--ignore-security-exceptions"" mCurArgData=""null"" mNextArg=21 argwas=""--ignore-security-exceptions"" nextarg=""-v""","E361","arg= <*> mCurArgData= ""null"" mNextArg= <*> argwas= <*> nextarg= ""-v"""
"53","11-11","22:56:02.103","7363","7363","I","Monkey  ",":Monkey: seed=900 count=1258","E76","<*> Monkey: seed= <*> count= <*>"
"54","11-11","22:56:02.103","7363","7363","I","Monkey  ",":AllowPackage: com.android.settings","E389",": AllowPackage: <*>"
"55","11-11","22:56:02.103","7363","7363","I","Monkey  ",":IncludeCategory: android.intent.category.LAUNCHER","E390",": IncludeCategory: <*>"
"56","11-11","22:56:02.103","7363","7363","I","Monkey  ",":IncludeCategory: android.intent.category.MONKEY","E390",": IncludeCategory: <*>"
"57","11-11","22:56:02.120","624","671","W","BroadcastQueue","Skipping deliver [background] BroadcastRecord{1a8da1a u-1 android.net.conn.CONNECTIVITY_CHANGE} to ReceiverList{174f94b 7363 (unknown name)/2000/u-1 remote:63b9b3c}: process gone or crashing","E486","Skipping deliver [background] <*> <*> <*> to <*> <*> ( unknown name) <*> remote: <*> process gone or crashing"
"58","11-11","22:56:02.128","7363","7363","I","Monkey  ","// Event percentages:","E153","<*> <*> percentages: <*>"
"59","11-11","22:56:02.128","7363","7363","I","Monkey  ","//   0: 60.0%","E391","// <*> <*>"
"60","11-11","22:56:02.128","7363","7363","I","Monkey  ","//   1: 10.0%","E391","// <*> <*>"
"61","11-11","22:56:02.128","7363","7363","I","Monkey  ","//   2: 0.0%","E391","// <*> <*>"
"62","11-11","22:56:02.128","7363","7363","I","Monkey  ","//   3: 0.0%","E391","// <*> <*>"
"63","11-11","22:56:02.128","7363","7363","I","Monkey  ","//   4: -0.0%","E391","// <*> <*>"
"64","11-11","22:56:02.128","7363","7363","I","Monkey  ","//   5: -0.0%","E391","// <*> <*>"
"65","11-11","22:56:02.128","7363","7363","I","Monkey  ","//   6: 10.0%","E391","// <*> <*>"
"66","11-11","22:56:02.128","7363","7363","I","Monkey  ","//   7: 5.0%","E391","// <*> <*>"
"67","11-11","22:56:02.128","7363","7363","I","Monkey  ","//   8: 10.0%","E391","// <*> <*>"
"68","11-11","22:56:02.128","7363","7363","I","Monkey  ","//   9: 5.0%","E391","// <*> <*>"
"69","11-11","22:56:02.128","7363","7363","I","Monkey  ","//   10: 0.0%","E391","// <*> <*>"
"70","11-11","22:56:02.128","7363","7363","I","Monkey  ","//   11: 0.0%","E391","// <*> <*>"
"71","11-11","22:56:02.128","7363","7363","I","Monkey  ",":Switch: #Intent;action=android.intent.action.MAIN;category=android.intent.category.MONKEY;launchFlags=0x10200000;component=com.android.settings/.Settings%24StorageUseActivity;end","E245",": Switch: #Intent;action= <*> <*> <*> <*>"
"72","11-11","22:56:02.131","624","3862","I","ActivityTaskManager","START u0 {act=android.intent.action.MAIN cat=[android.intent.category.MONKEY] flg=0x10200000 cmp=com.android.settings/.Settings$StorageUseActivity} from uid 2000","E493","START <*> {act= <*> cat= <*> flg= <*> cmp= <*> from uid <*>"
"73","11-11","22:56:02.132","7363","7363","I","Monkey  ","// Allowing start of Intent { act=android.intent.action.MAIN cat=[android.intent.category.MONKEY] cmp=com.android.settings/.Settings$StorageUseActivity } in package com.android.settings","E499","// Allowing start of Intent { act= <*> cat= <*> cmp= <*> } in package <*>"
"74","11-11","22:56:02.167","4512","7342","D","SettingsActivity","No enabled state changed, skipping updateCategory call","E246","No enabled state changed, skipping updateCategory call"
"75","11-11","22:56:02.186","4512","4528","E","OpenGLRenderer","Unable to match the desired swap behavior.","E247","Unable to match the desired swap behavior."
"76","11-11","22:56:02.249","0","0","W","audit   ","audit_lost=1676 audit_rate_limit=5 audit_backlog_limit=64","E77","<*> <*> audit_rate_limit= <*> audit_backlog_limit= <*>"
"77","11-11","22:56:02.249","0","0","E","audit   ","rate limit exceeded","E393","rate limit <*>"
"78","11-11","22:56:02.243","7363","7363","W","commands.monkey","type=1400 audit(0.0:589): avc: denied { read } for name=""u:object_r:qemu_sf_lcd_density_prop:s0"" dev=""tmpfs"" ino=266 scontext=u:r:shell:s0 tcontext=u:object_r:qemu_sf_lcd_density_prop:s0 tclass=file permissive=0","E502","type= <*> audit( <*> <*> : avc: denied { read } for name= ""u: object_r: qemu_sf_lcd_density_prop: <*> dev= ""tmpfs"" ino= <*> scontext= u: r: shell: <*> tcontext= u: object_r: qemu_sf_lcd_density_prop: <*> tclass= file permissive= <*>"
"79","11-11","22:56:02.243","7363","7363","W","commands.monkey","type=1300 audit(0.0:589): arch=c000003e syscall=257 success=no exit=-13 a0=ffffff9c a1=7ffe2add5cc0 a2=a0000 a3=0 items=0 ppid=512 auid=4294967295 uid=2000 gid=2000 euid=2000 suid=2000 fsuid=2000 egid=2000 sgid=2000 fsgid=2000 tty=(none) ses=4294967295 exe=""/system/bin/app_process64"" subj=u:r:shell:s0 key=(null)","E503","type= <*> audit( <*> <*> : arch= <*> syscall= <*> success= no exit= <*> <*> <*> <*> <*> <*> <*> <*> <*> items= <*> ppid= <*> auid= <*> uid= <*> gid= <*> euid= <*> suid= <*> fsuid= <*> egid= <*> sgid= <*> fsgid= <*> tty= ( none) ses= <*> exe= <*> subj= u: r: shell: <*> key= ( null) "
"80","11-11","22:56:02.243","259","259","W","auditd  ","type=1327 audit(0.0:589): proctitle=""com.android.commands.monkey""","E504","type= <*> audit( <*> <*> : proctitle= <*>"
"81","11-11","22:56:02.243","259","259","W","auditd  ","type=1320 audit(0.0:589):","E248","type= <*> audit( <*> <*> : "
"82","11-11","22:56:02.243","7363","7363","W","commands.monkey","type=1400 audit(0.0:590): avc: denied { read } for name=""u:object_r:qemu_sf_lcd_density_prop:s0"" dev=""tmpfs"" ino=266 scontext=u:r:shell:s0 tcontext=u:object_r:qemu_sf_lcd_density_prop:s0 tclass=file permissive=0","E502","type= <*> audit( <*> <*> : avc: denied { read } for name= ""u: object_r: qemu_sf_lcd_density_prop: <*> dev= ""tmpfs"" ino= <*> scontext= u: r: shell: <*> tcontext= u: object_r: qemu_sf_lcd_density_prop: <*> tclass= file permissive= <*>"
"83","11-11","22:56:02.248","7363","7363","W","libc    ","Access denied finding property ""qemu.sf.lcd_density""","E552","Access denied finding property <*>"
"84","11-11","22:56:02.257","7363","7363","I","Monkey  ",":Sending Touch (ACTION_DOWN): 0:(230.0,1070.0)","E641",": Sending Touch ( ACTION_DOWN) : <*> ( <*> <*> "
"85","11-11","22:56:02.259","7363","7363","I","Monkey  ",":Sending Touch (ACTION_UP): 0:(246.90463,1063.4918)","E642",": Sending Touch ( ACTION_UP) : <*> ( <*> <*> "
"86","11-11","22:56:02.303","624","3862","W","InputManager-JNI","Input channel object 'f6a7de6 SnapshotStartingWindow for taskId=250 (client)' was disposed without first being removed with the input manager!","E674","Input channel object <*> SnapshotStartingWindow for taskId= <*> ( client) ' was disposed without first being removed with the input manager!"
"87","11-11","22:56:02.330","487","505","W","TransactionTracing","Could not find layer id -1","E90","Could not find layer id <*>"
"88","11-11","22:56:02.330","487","505","W","TransactionTracing","Could not find layer id -1","E90","Could not find layer id <*>"
"89","11-11","22:56:02.330","487","505","W","TransactionTracing","Could not find layer id -1","E90","Could not find layer id <*>"
"90","11-11","22:56:02.359","7363","7363","I","Monkey  ",":Sending Touch (ACTION_DOWN): 0:(632.0,242.0)","E641",": Sending Touch ( ACTION_DOWN) : <*> ( <*> <*> "
"91","11-11","22:56:02.362","7363","7363","I","Monkey  ",":Sending Touch (ACTION_UP): 0:(614.8815,242.59808)","E642",": Sending Touch ( ACTION_UP) : <*> ( <*> <*> "
"92","11-11","22:56:02.376","30395","30448","D","EGL_emulation","app_time_stats: avg=619.97ms min=397.80ms max=842.14ms count=2","E9","app_time_stats: avg= <*> min= <*> max= <*> count= <*>"
"93","11-11","22:56:02.389","484","5892","D","AF::TrackHandle","OpPlayAudio: track:140 usage:13 not muted","E249","OpPlayAudio: track: <*> usage: <*> not muted"
"94","11-11","22:56:02.389","484","5892","D","AF::TrackHandle","OpPlayAudio: track:140 usage:13 not muted","E249","OpPlayAudio: track: <*> usage: <*> not muted"
"95","11-11","22:56:02.389","484","5892","D","AF::TrackHandle","OpPlayAudio: track:140 usage:13 not muted","E249","OpPlayAudio: track: <*> usage: <*> not muted"
"96","11-11","22:56:02.390","484","5892","D","AF::TrackHandle","OpPlayAudio: track:140 usage:13 not muted","E249","OpPlayAudio: track: <*> usage: <*> not muted"
"97","11-11","22:56:02.390","484","5892","D","AF::TrackHandle","OpPlayAudio: track:140 usage:13 not muted","E249","OpPlayAudio: track: <*> usage: <*> not muted"
