"LineId","Date","Time","Pid","Tid","Level","Component","Content","EventId","EventTemplate"
"1","06-30","19:13:34.839","624","645","D","ActivityManagerTiming","OnBootPhase_1000_com.android.server.DropBoxManagerService","E0","<*>"
"2","06-30","19:13:34.839","624","645","V","ActivityManagerTiming","OnBootPhase_1000_com.android.server.DropBoxManagerService took to complete: 0ms","E253","<*> took to complete: <*>"
"3","06-30","19:13:34.839","624","645","D","ActivityManagerTiming","OnBootPhase_1000_com.android.role.RoleService","E0","<*>"
"4","06-30","19:13:34.839","624","645","V","ActivityManagerTiming","OnBootPhase_1000_com.android.role.RoleService took to complete: 0ms","E253","<*> took to complete: <*>"
"5","06-30","19:13:34.839","624","645","D","ActivityManagerTiming","OnBootPhase_1000_com.android.server.vibrator.VibratorManagerService$Lifecycle","E0","<*>"
"6","06-30","19:13:34.839","624","645","V","ActivityManagerTiming","OnBootPhase_1000_com.android.server.vibrator.VibratorManagerService$Lifecycle took to complete: 0ms","E253","<*> took to complete: <*>"
"7","06-30","19:13:34.839","624","645","D","ActivityManagerTiming","OnBootPhase_1000_com.android.server.tare.InternalResourceService","E0","<*>"
"8","06-30","19:13:34.839","624","645","V","ActivityManagerTiming","OnBootPhase_1000_com.android.server.tare.InternalResourceService took to complete: 0ms","E253","<*> took to complete: <*>"
"9","06-30","19:13:34.839","624","645","D","ActivityManagerTiming","OnBootPhase_1000_com.android.server.alarm.AlarmManagerService","E0","<*>"
"10","06-30","19:13:34.839","624","645","V","ActivityManagerTiming","OnBootPhase_1000_com.android.server.alarm.AlarmManagerService took to complete: 0ms","E253","<*> took to complete: <*>"
"11","06-30","19:13:34.840","624","645","D","ActivityManagerTiming","OnBootPhase_1000_com.android.server.devicestate.DeviceStateManagerService","E0","<*>"
"12","06-30","19:13:34.841","624","645","V","ActivityManagerTiming","OnBootPhase_1000_com.android.server.devicestate.DeviceStateManagerService took to complete: 0ms","E253","<*> took to complete: <*>"
"13","06-30","19:13:34.841","624","645","D","ActivityManagerTiming","OnBootPhase_1000_com.android.server.camera.CameraServiceProxy","E0","<*>"
"14","06-30","19:13:34.841","624","645","V","ActivityManagerTiming","OnBootPhase_1000_com.android.server.camera.CameraServiceProxy took to complete: 1ms","E253","<*> took to complete: <*>"
"15","06-30","19:13:34.841","624","645","D","ActivityManagerTiming","OnBootPhase_1000_com.android.server.bluetooth.BluetoothService","E0","<*>"
"16","06-30","19:13:34.841","624","645","V","ActivityManagerTiming","OnBootPhase_1000_com.android.server.bluetooth.BluetoothService took to complete: 0ms","E253","<*> took to complete: <*>"
"17","06-30","19:13:34.841","624","645","D","ActivityManagerTiming","OnBootPhase_1000_com.android.server.connectivity.IpConnectivityMetrics","E0","<*>"
"18","06-30","19:13:34.842","624","645","V","ActivityManagerTiming","OnBootPhase_1000_com.android.server.connectivity.IpConnectivityMetrics took to complete: 0ms","E253","<*> took to complete: <*>"
"19","06-30","19:13:34.842","624","645","D","ActivityManagerTiming","OnBootPhase_1000_com.android.server.net.watchlist.NetworkWatchlistService$Lifecycle","E0","<*>"
"20","06-30","19:13:34.842","624","645","V","ActivityManagerTiming","OnBootPhase_1000_com.android.server.net.watchlist.NetworkWatchlistService$Lifecycle took to complete: 0ms","E253","<*> took to complete: <*>"
"21","06-30","19:13:34.842","624","645","D","ActivityManagerTiming","OnBootPhase_1000_com.android.server.PinnerService","E0","<*>"
"22","06-30","19:13:34.842","624","645","V","ActivityManagerTiming","OnBootPhase_1000_com.android.server.PinnerService took to complete: 0ms","E253","<*> took to complete: <*>"
"23","06-30","19:13:34.842","624","645","D","ActivityManagerTiming","OnBootPhase_1000_com.android.server.integrity.AppIntegrityManagerService","E0","<*>"
"24","06-30","19:13:34.842","624","645","V","ActivityManagerTiming","OnBootPhase_1000_com.android.server.integrity.AppIntegrityManagerService took to complete: 0ms","E253","<*> took to complete: <*>"
"25","06-30","19:13:34.842","624","645","D","ActivityManagerTiming","OnBootPhase_1000_com.android.server.logcat.LogcatManagerService","E0","<*>"
"26","06-30","19:13:34.842","624","645","V","ActivityManagerTiming","OnBootPhase_1000_com.android.server.logcat.LogcatManagerService took to complete: 0ms","E253","<*> took to complete: <*>"
"27","06-30","19:13:34.842","624","645","D","ActivityManagerTiming","OnBootPhase_1000_com.android.server.inputmethod.InputMethodManagerService$Lifecycle","E0","<*>"
"28","06-30","19:13:34.842","624","645","V","ActivityManagerTiming","OnBootPhase_1000_com.android.server.inputmethod.InputMethodManagerService$Lifecycle took to complete: 0ms","E253","<*> took to complete: <*>"
"29","06-30","19:13:34.842","624","645","D","ActivityManagerTiming","OnBootPhase_1000_com.android.server.accessibility.AccessibilityManagerService$Lifecycle","E0","<*>"
