"LineId","Date","Time","Pid","Tid","Level","Component","Content","EventId","EventTemplate"
"1","12-18","00:11:14.357","0","0","I","logd    ","logdr: UID=2000 GID=2000 PID=6806 b tail=0 logMask=99 pid=0 start=0ns deadline=0ns","E0","logdr: UID= <*> GID= <*> PID= <*> b tail= <*> logMask= <*> pid= <*> start= <*> deadline= <*>"
"2","12-18","00:11:16.488","6814","6814","D","AndroidRuntime",">>>>>> START com.android.internal.os.RuntimeInit uid 2000 <<<<<<","E7",">>>>>> START <*> uid <*> <<<<<<"
"3","12-18","00:11:16.494","6814","6814","I","AndroidRuntime","Using default boot image","E146","<*> <*> boot image"
"4","12-18","00:11:16.495","6814","6814","I","AndroidRuntime","Leaving lock profiling enabled","E159","Leaving lock profiling <*>"
"5","12-18","00:11:16.498","6814","6814","I","app_process","Core platform API reporting enabled, enforcing=false","E256","Core platform API reporting enabled, enforcing= false"
"6","12-18","00:11:16.596","6814","6814","D","app_process","Time zone APEX ICU file found: /apex/com.android.tzdata/etc/icu/icu_tzdata.dat","E258","Time zone APEX ICU file found: <*>"
"7","12-18","00:11:16.597","6814","6814","D","app_process","I18n APEX ICU file found: /apex/com.android.i18n/etc/icu/icudt70l.dat","E12","<*> APEX ICU file found: <*>"
"8","12-18","00:11:16.620","6814","6814","D","AndroidRuntime","Calling main entry com.android.commands.monkey.Monkey","E147","<*> <*> entry <*>"
"9","12-18","00:11:16.621","6814","6814","W","Monkey  ","args: [-p, com.android.settings, --throttle, 100, --pct-touch, 50, --pct-motion, 15, --pct-trackball, 0, --pct-nav, 15, --pct-majornav, 5, --pct-syskeys, 10, --pct-appswitch, 5, --ignore-crashes, --ignore-timeouts, --ignore-security-exceptions, -v, 2000]","E361","args: [-p, <*> --throttle, <*> --pct-touch, <*> --pct-motion, <*> --pct-trackball, <*> --pct-nav, <*> --pct-majornav, <*> --pct-syskeys, <*> --pct-appswitch, <*> --ignore-crashes, --ignore-timeouts, --ignore-security-exceptions, -v, <*>"
"10","12-18","00:11:16.622","6814","6814","W","Monkey  ","arg: ""-p""","E363","arg: <*>"
"11","12-18","00:11:16.622","6814","6814","W","Monkey  ","arg: ""com.android.settings""","E363","arg: <*>"
"12","12-18","00:11:16.622","6814","6814","W","Monkey  ","arg: ""--throttle""","E363","arg: <*>"
"13","12-18","00:11:16.623","6814","6814","W","Monkey  ","arg: ""100""","E363","arg: <*>"
"14","12-18","00:11:16.623","6814","6814","W","Monkey  ","arg: ""--pct-touch""","E363","arg: <*>"
"15","12-18","00:11:16.623","6814","6814","W","Monkey  ","arg: ""50""","E363","arg: <*>"
"16","12-18","00:11:16.623","6814","6814","W","Monkey  ","arg: ""--pct-motion""","E363","arg: <*>"
"17","12-18","00:11:16.623","6814","6814","W","Monkey  ","arg: ""15""","E363","arg: <*>"
"18","12-18","00:11:16.623","6814","6814","W","Monkey  ","arg: ""--pct-trackball""","E363","arg: <*>"
"19","12-18","00:11:16.624","6814","6814","W","Monkey  ","arg: ""0""","E363","arg: <*>"
"20","12-18","00:11:16.624","6814","6814","W","Monkey  ","arg: ""--pct-nav""","E363","arg: <*>"
"21","12-18","00:11:16.624","6814","6814","W","Monkey  ","arg: ""15""","E363","arg: <*>"
