"LineId","Date","Time","Pid","Tid","Level","Component","Content","EventId","EventTemplate"
"1","12-18","00:15:40.443","533","576","D","AudioAnalytics","expiring previous audio state after 3600 seconds.","E0","expiring previous audio state after <*> seconds."
"2","12-18","00:15:40.967","628","655","I","UsageStatsService","User[0] Flushing usage stats to disk","E87","<*> Flushing usage stats to disk"
"3","12-18","00:15:41.253","0","0","I","logd    ","logdr: UID=2000 GID=2000 PID=7566 b tail=0 logMask=99 pid=0 start=0ns deadline=0ns","E164","logdr: UID= <*> GID= <*> PID= <*> b tail= <*> logMask= <*> pid= <*> start= <*> deadline= <*>"
"4","12-18","00:15:43.411","7574","7574","D","AndroidRuntime",">>>>>> START com.android.internal.os.RuntimeInit uid 2000 <<<<<<","E89",">>>>>> START <*> uid <*> <<<<<<"
"5","12-18","00:15:43.417","7574","7574","I","AndroidRuntime","Using default boot image","E172","Using <*> boot image"
"6","12-18","00:15:43.417","7574","7574","I","AndroidRuntime","Leaving lock profiling enabled","E173","Leaving <*> profiling enabled"
"7","12-18","00:15:43.420","7574","7574","I","app_process","Core platform API reporting enabled, enforcing=false","E3","Core platform API reporting enabled, enforcing= false"
"8","12-18","00:15:43.537","7574","7574","D","app_process","Time zone APEX ICU file found: /apex/com.android.tzdata/etc/icu/icu_tzdata.dat","E6","Time zone APEX ICU file found: <*>"
"9","12-18","00:15:43.538","7574","7574","D","app_process","I18n APEX ICU file found: /apex/com.android.i18n/etc/icu/icudt70l.dat","E95","<*> APEX ICU file found: <*>"
"10","12-18","00:15:43.562","7574","7574","D","AndroidRuntime","Calling main entry com.android.commands.monkey.Monkey","E182","<*> main entry <*>"
