"LineId","Date","Time","Pid","Tid","Level","Component","Content","EventId","EventTemplate"
"1","06-17","16:23:48.556","510","510","I","perfetto","probes_producer.cc:140 Ftrace setup (target_buf=2)","E0","probes_producer.cc: <*> Ftrace setup <*> target_buf= <*> <*>"
"2","06-17","16:23:48.589","510","510","I","perfetto","ftrace_procfs.cc:335 enabled ftrace in /sys/kernel/tracing/","E54","ftrace_procfs.cc: <*> enabled ftrace <*> <*>"
"3","06-17","16:23:48.612","19716","19775","W","SurfaceComposerClient","ComposerService remote (surfaceflinger) died [0x7a61275e4ea0]","E66","ComposerService remote ( surfaceflinger) died <*>"
"4","06-17","16:23:48.612","19716","19775","W","SurfaceComposerClient","ComposerService aidl remote (surfaceflinger) died [0x7a61275e3ed0]","E143","ComposerService aidl remote ( surfaceflinger) died <*>"
"5","06-17","16:23:48.612","19514","20174","W","SurfaceComposerClient","ComposerService remote (surfaceflinger) died [0x7a61275e5210]","E66","ComposerService remote ( surfaceflinger) died <*>"
"6","06-17","16:23:48.612","19514","20174","W","SurfaceComposerClient","ComposerService aidl remote (surfaceflinger) died [0x7a6127605b30]","E143","ComposerService aidl remote ( surfaceflinger) died <*>"
"7","06-17","16:23:48.612","19895","20080","W","SurfaceComposerClient","ComposerService remote (surfaceflinger) died [0x7a61275e43a0]","E66","ComposerService remote ( surfaceflinger) died <*>"
"8","06-17","16:23:48.612","19895","20080","W","SurfaceComposerClient","ComposerService aidl remote (surfaceflinger) died [0x7a61275e8440]","E143","ComposerService aidl remote ( surfaceflinger) died <*>"
"9","06-17","16:23:48.612","19181","19288","W","SurfaceComposerClient","ComposerService remote (surfaceflinger) died [0x7a6127652030]","E66","ComposerService remote ( surfaceflinger) died <*>"
"10","06-17","16:23:48.612","19181","19288","W","SurfaceComposerClient","ComposerService aidl remote (surfaceflinger) died [0x7a61275d3990]","E143","ComposerService aidl remote ( surfaceflinger) died <*>"
"11","06-17","16:23:48.622","456","19054","I","RanchuHwc","Vsync thread for display:0 finished","E68","Vsync <*> for display: <*> <*>"
"12","06-17","16:23:48.803","532","835","D","BufferPoolAccessor2.0","bufferpool2 0x711c50dd7978 : 0(0 size) total buffers - 0(0 size) used buffers - 13/16 (recycle/alloc) - 3/15 (fetch/transfer)","E215","bufferpool2 <*> : <*> <*> size) total buffers - <*> <*> size) used buffers - <*> ( <*> - <*> ( <*> "
"13","06-17","16:23:48.803","532","835","D","BufferPoolAccessor2.0","Destruction - bufferpool2 0x711c50dd7978 cached: 0/0M, 0/0% in use; allocs: 16, 81% recycled; transfers: 15, 80% unfetched","E217","Destruction - bufferpool2 <*> cached: <*> <*> in use; allocs: <*> <*> recycled; transfers: <*> <*> unfetched"
"14","06-17","16:23:48.803","532","835","D","BufferPoolAccessor2.0","bufferpool2 0x711c50dd74d8 : 0(0 size) total buffers - 0(0 size) used buffers - 13/17 (recycle/alloc) - 4/16 (fetch/transfer)","E215","bufferpool2 <*> : <*> <*> size) total buffers - <*> <*> size) used buffers - <*> ( <*> - <*> ( <*> "
"15","06-17","16:23:48.803","532","835","D","BufferPoolAccessor2.0","Destruction - bufferpool2 0x711c50dd74d8 cached: 0/0M, 0/0% in use; allocs: 17, 76% recycled; transfers: 16, 75% unfetched","E217","Destruction - bufferpool2 <*> cached: <*> <*> in use; allocs: <*> <*> recycled; transfers: <*> <*> unfetched"
"16","06-17","16:23:48.803","532","835","D","BufferPoolAccessor2.0","bufferpool2 0x711c50de1468 : 0(0 size) total buffers - 0(0 size) used buffers - 6/7 (recycle/alloc) - 1/6 (fetch/transfer)","E215","bufferpool2 <*> : <*> <*> size) total buffers - <*> <*> size) used buffers - <*> ( <*> - <*> ( <*> "
"17","06-17","16:23:48.803","532","835","D","BufferPoolAccessor2.0","Destruction - bufferpool2 0x711c50de1468 cached: 0/0M, 0/0% in use; allocs: 7, 86% recycled; transfers: 6, 83% unfetched","E217","Destruction - bufferpool2 <*> cached: <*> <*> in use; allocs: <*> <*> recycled; transfers: <*> <*> unfetched"
"18","06-17","16:23:48.813","483","483","E","android.hardware.bluetooth@1.1-btlinux","BluetoothDeathRecipient::serviceDied - Bluetooth service died","E145","BluetoothDeathRecipient: <*> serviceDied <*> Bluetooth <*> died"
"19","06-17","16:23:48.813","483","483","I","android.hardware.bluetooth@1.1-btlinux","BluetoothHci::close()","E225","BluetoothHci: <*> close( <*> <*>"
"20","06-17","16:23:48.813","483","483","I","android.hardware.bluetooth@1.1-btlinux","Skipping unlink call, service died.","E250","<*> unlink call, <*> died."
"21","06-17","16:23:48.814","483","483","E","android.hardware.bluetooth@1.1-btlinux","Unable to open /dev/rfkill","E355","Unable to open <*>"
"22","06-17","16:23:48.873","18995","18995","I","Zygote  ","Process 19669 exited due to signal 9 (Killed)","E471","Process <*> exited due to signal <*> ( Killed) "
"23","06-17","16:23:49.014","8689","8692","I","adbd    ","adbd_auth: hit EOF on framework fd","E74","<*> hit EOF <*> framework fd"
"24","06-17","16:23:49.014","8689","8692","I","adbd    ","adbd_auth: received new framework fd -1 (current = 32)","E505","adbd_auth: received new framework fd <*> ( current = <*> "
"25","06-17","16:23:49.127","247","247","I","lowmemorykiller","lmkd data connection dropped","E356","lmkd data <*> <*>"
"26","06-17","16:23:49.127","247","247","I","lowmemorykiller","closing lmkd data connection","E366","closing <*> <*> connection"
"27","06-17","16:23:49.129","453","19552","E","GnssAntennaInfoAidl","reportAntennaInfo: Unable to invoke callback","E226","reportAntennaInfo: <*> <*> <*> <*>"
"28","06-17","16:23:49.248","19003","19030","I","r_submix","adev_close()","E526","adev_close( <*> <*>"
"29","06-17","16:23:49.259","257","374","D","vold    ","Aborting fuse connection entry /sys/fs/fuse/connections/187/abort","E267","Aborting fuse <*> <*> <*>"
"30","06-17","16:23:49.259","257","374","W","vold    ","Skip fsync /sys/fs/fuse/connections/187/abort on a file system does not support synchronization: Invalid argument","E622","Skip fsync <*> on a file system does not support synchronization: Invalid argument"
"31","06-17","16:23:49.259","257","374","D","vold    ","Aborting fuse connection entry /sys/fs/fuse/connections/131/abort","E267","Aborting fuse <*> <*> <*>"
"32","06-17","16:23:49.259","257","374","W","vold    ","Skip fsync /sys/fs/fuse/connections/131/abort on a file system does not support synchronization: Invalid argument","E622","Skip fsync <*> on a file system does not support synchronization: Invalid argument"
"33","06-17","16:23:49.262","18999","23620","E","IPCThreadState","attemptIncStrongHandle(7): Not supported","E290","attemptIncStrongHandle( <*> <*> Not <*>"
"34","06-17","16:23:49.262","18999","23620","E","netd    ","unlinkToDeath: removed reference to death recipient but unlink failed.","E638","unlinkToDeath: removed reference to death recipient but unlink failed."
"35","06-17","16:23:49.262","400","801","E","IPCThreadState","attemptIncStrongHandle(37): Not supported","E290","attemptIncStrongHandle( <*> <*> Not <*>"
"36","06-17","16:23:49.262","400","801","W","statsd  ","statscompanion service died","E540","statscompanion <*> died"
"37","06-17","16:23:49.262","400","801","W","statsd  ","Reset statsd upon system server restarts.","E55","Reset <*> upon system <*> <*>"
"38","06-17","16:23:49.262","400","801","E","IPCThreadState","attemptIncStrongHandle(5): Not supported","E290","attemptIncStrongHandle( <*> <*> Not <*>"
"39","06-17","16:23:49.263","453","464","D","GnssAntennaInfoAidl","stop","E680","stop"
"40","06-17","16:23:49.263","421","421","E","android.hardware.health-service.cuttlefish","unlinkToDeath: removed reference to death recipient but unlink failed.","E638","unlinkToDeath: removed reference to death recipient but unlink failed."
"41","06-17","16:23:49.263","453","453","D","GnssBatchingAidl","cleanup","E681","cleanup"
"42","06-17","16:23:49.263","453","453","D","GnssBatchingAidl","flush","E682","flush"
"43","06-17","16:23:49.263","421","421","E","IPCThreadState","attemptIncStrongHandle(2): Not supported","E290","attemptIncStrongHandle( <*> <*> Not <*>"
"44","06-17","16:23:49.264","532","3779","D","BufferPoolAccessor2.0","bufferpool2 0x711c50ddb598 : 0(0 size) total buffers - 0(0 size) used buffers - 5/7 (recycle/alloc) - 2/6 (fetch/transfer)","E215","bufferpool2 <*> : <*> <*> size) total buffers - <*> <*> size) used buffers - <*> ( <*> - <*> ( <*> "
"45","06-17","16:23:49.264","532","3779","D","BufferPoolAccessor2.0","Destruction - bufferpool2 0x711c50ddb598 cached: 0/0M, 0/0% in use; allocs: 7, 71% recycled; transfers: 6, 67% unfetched","E217","Destruction - bufferpool2 <*> cached: <*> <*> in use; allocs: <*> <*> recycled; transfers: <*> <*> unfetched"
"46","06-17","16:23:49.264","532","3779","D","BufferPoolAccessor2.0","bufferpool2 0x711c50ddcf08 : 0(0 size) total buffers - 0(0 size) used buffers - 9/10 (recycle/alloc) - 1/9 (fetch/transfer)","E215","bufferpool2 <*> : <*> <*> size) total buffers - <*> <*> size) used buffers - <*> ( <*> - <*> ( <*> "
"47","06-17","16:23:49.264","532","3779","D","BufferPoolAccessor2.0","Destruction - bufferpool2 0x711c50ddcf08 cached: 0/0M, 0/0% in use; allocs: 10, 90% recycled; transfers: 9, 89% unfetched","E217","Destruction - bufferpool2 <*> cached: <*> <*> in use; allocs: <*> <*> recycled; transfers: <*> <*> unfetched"
"48","06-17","16:23:49.264","532","3779","D","BufferPoolAccessor2.0","bufferpool2 0x711c50de2dd8 : 0(0 size) total buffers - 0(0 size) used buffers - 9/11 (recycle/alloc) - 2/10 (fetch/transfer)","E215","bufferpool2 <*> : <*> <*> size) total buffers - <*> <*> size) used buffers - <*> ( <*> - <*> ( <*> "
"49","06-17","16:23:49.264","532","3779","D","BufferPoolAccessor2.0","Destruction - bufferpool2 0x711c50de2dd8 cached: 0/0M, 0/0% in use; allocs: 11, 82% recycled; transfers: 10, 80% unfetched","E217","Destruction - bufferpool2 <*> cached: <*> <*> in use; allocs: <*> <*> recycled; transfers: <*> <*> unfetched"
"50","06-17","16:23:49.264","532","3779","D","BufferPoolAccessor2.0","bufferpool2 0x711c50ddd158 : 0(0 size) total buffers - 0(0 size) used buffers - 7/10 (recycle/alloc) - 3/9 (fetch/transfer)","E215","bufferpool2 <*> : <*> <*> size) total buffers - <*> <*> size) used buffers - <*> ( <*> - <*> ( <*> "
"51","06-17","16:23:49.264","532","3779","D","BufferPoolAccessor2.0","Destruction - bufferpool2 0x711c50ddd158 cached: 0/0M, 0/0% in use; allocs: 10, 70% recycled; transfers: 9, 67% unfetched","E217","Destruction - bufferpool2 <*> cached: <*> <*> in use; allocs: <*> <*> recycled; transfers: <*> <*> unfetched"
"52","06-17","16:23:49.264","532","3779","D","BufferPoolAccessor2.0","bufferpool2 0x711c50ddc378 : 0(0 size) total buffers - 0(0 size) used buffers - 13/15 (recycle/alloc) - 2/14 (fetch/transfer)","E215","bufferpool2 <*> : <*> <*> size) total buffers - <*> <*> size) used buffers - <*> ( <*> - <*> ( <*> "
"53","06-17","16:23:49.264","532","3779","D","BufferPoolAccessor2.0","Destruction - bufferpool2 0x711c50ddc378 cached: 0/0M, 0/0% in use; allocs: 15, 87% recycled; transfers: 14, 86% unfetched","E217","Destruction - bufferpool2 <*> cached: <*> <*> in use; allocs: <*> <*> recycled; transfers: <*> <*> unfetched"
"54","06-17","16:23:49.264","532","3779","D","BufferPoolAccessor2.0","bufferpool2 0x711c50de5c18 : 0(0 size) total buffers - 0(0 size) used buffers - 11/15 (recycle/alloc) - 4/14 (fetch/transfer)","E215","bufferpool2 <*> : <*> <*> size) total buffers - <*> <*> size) used buffers - <*> ( <*> - <*> ( <*> "
"55","06-17","16:23:49.264","532","3779","D","BufferPoolAccessor2.0","Destruction - bufferpool2 0x711c50de5c18 cached: 0/0M, 0/0% in use; allocs: 15, 73% recycled; transfers: 14, 71% unfetched","E217","Destruction - bufferpool2 <*> cached: <*> <*> in use; allocs: <*> <*> recycled; transfers: <*> <*> unfetched"
"56","06-17","16:23:49.412","23651","23651","I","netdClient","Skipping libnetd_client init since *we* are netd","E156","<*> libnetd_client <*> <*> *we* <*> netd"
"57","06-17","16:23:49.424","23651","23651","I","netd    ","netd 1.0 starting","E527","netd <*> <*>"
"58","06-17","16:23:49.425","23651","23651","I","netd    ","Pid file removed","E541","Pid <*> removed"
"59","06-17","16:23:49.425","23651","23651","I","netd    ","SIGPIPE is blocked","E542","SIGPIPE <*> blocked"
"60","06-17","16:23:49.425","23651","23651","I","netd    ","setCloseOnExec(dnsproxyd)","E562","setCloseOnExec( <*> <*>"
"61","06-17","16:23:49.425","23651","23651","I","netd    ","setCloseOnExec(fwmarkd)","E562","setCloseOnExec( <*> <*>"
"62","06-17","16:23:49.425","23651","23651","I","netd    ","setCloseOnExec(mdns)","E562","setCloseOnExec( <*> <*>"
"63","06-17","16:23:49.425","23651","23651","I","NetdUpdatable","libnetd_updatable_init: Initializing","E968","libnetd_updatable_init: <*>"
